currentMusher,musherLocation,currentTimeStamp,index,relOrder
Jessie Holmes,Willow_inTime,2019-03-03T14:00:00Z,1,1
Jessie Holmes,Willow_outTime,2019-03-03T15:00:00Z,2,1
Jessie Holmes,Willow_outTime,2019-03-03T16:00:00Z,2,1
Jessie Holmes,Willow_outTime,2019-03-03T17:00:00Z,2,1
Jessie Holmes,Willow_outTime,2019-03-03T18:00:00Z,2,1
Jessie Holmes,Yentna_outTime,2019-03-03T19:00:00Z,4,1
Jessie Holmes,Yentna_outTime,2019-03-03T20:00:00Z,4,1
Jessie Holmes,Skwentna_inTime,2019-03-03T21:00:00Z,5,1
Jessie Holmes,Skwentna_inTime,2019-03-03T22:00:00Z,5,1
Jessie Holmes,Skwentna_inTime,2019-03-03T23:00:00Z,5,1
Jessie Holmes,Skwentna_inTime,2019-03-04T00:00:00Z,5,1
Jessie Holmes,Skwentna_inTime,2019-03-04T01:00:00Z,5,1
Jessie Holmes,Skwentna_inTime,2019-03-04T02:00:00Z,5,1
Jessie Holmes,Skwentna_inTime,2019-03-04T03:00:00Z,5,1
Jessie Holmes,Skwentna_outTime,2019-03-04T04:00:00Z,6,1
Jessie Holmes,Skwentna_outTime,2019-03-04T05:00:00Z,6,1
Jessie Holmes,Skwentna_outTime,2019-03-04T06:00:00Z,6,1
Jessie Holmes,Skwentna_outTime,2019-03-04T07:00:00Z,6,1
Jessie Holmes,Finger Lake_outTime,2019-03-04T08:00:00Z,8,1
Jessie Holmes,Finger Lake_outTime,2019-03-04T09:00:00Z,8,1
Jessie Holmes,Finger Lake_outTime,2019-03-04T10:00:00Z,8,1
Jessie Holmes,Finger Lake_outTime,2019-03-04T11:00:00Z,8,1
Jessie Holmes,Rainy Pass_inTime,2019-03-04T12:00:00Z,9,1
Jessie Holmes,Rainy Pass_inTime,2019-03-04T13:00:00Z,9,1
Jessie Holmes,Rainy Pass_inTime,2019-03-04T14:00:00Z,9,1
Jessie Holmes,Rainy Pass_inTime,2019-03-04T15:00:00Z,9,1
Jessie Holmes,Rainy Pass_outTime,2019-03-04T16:00:00Z,10,1
Jessie Holmes,Rainy Pass_outTime,2019-03-04T17:00:00Z,10,1
Jessie Holmes,Rainy Pass_outTime,2019-03-04T18:00:00Z,10,1
Jessie Holmes,Rainy Pass_outTime,2019-03-04T19:00:00Z,10,1
Jessie Holmes,Rohn_inTime,2019-03-04T20:00:00Z,11,1
