musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName,inTime,outTime,prevTime,enrouteTime,restTime,dropDogs,rest24,cpOrder,finalOrder,rest8
Jessie Holmes,5,3/3 18:00:00,14,3/3 18:03:00,14,0h 3m,3h 54m,3/3 14:06:00,10.77,Yentna,2019-03-03T18:00:00Z,2019-03-03T18:03:00Z,2019-03-03T14:06:00Z,234,3,0,0,1,28,0
Matt Hall,3,3/3 18:15:00,14,3/3 18:17:00,14,0h 2m,4h 13m,3/3 14:02:00,9.96,Yentna,2019-03-03T18:15:00Z,2019-03-03T18:17:00Z,2019-03-03T14:02:00Z,253,2,0,0,3,6,0
Linwood Fiedler,15,3/3 18:23:00,14,3/3 18:26:00,14,0h 3m,3h 57m,3/3 14:26:00,10.63,Yentna,2019-03-03T18:23:00Z,2019-03-03T18:26:00Z,2019-03-03T14:26:00Z,237,3,0,0,5,12,0
Mats Pettersson,4,3/3 18:12:00,14,3/3 18:28:00,14,0h 16m,4h 8m,3/3 14:04:00,10.16,Yentna,2019-03-03T18:12:00Z,2019-03-03T18:28:00Z,2019-03-03T14:04:00Z,248,16,0,0,2,20,0
Peter Kaiser,9,3/3 18:25:00,14,3/3 18:29:00,14,0h 4m,4h 11m,3/3 14:14:00,10.04,Yentna,2019-03-03T18:25:00Z,2019-03-03T18:29:00Z,2019-03-03T14:14:00Z,251,4,0,0,6,1,0
Jessie Royer,14,3/3 18:27:00,14,3/3 18:31:00,14,0h 4m,4h 3m,3/3 14:24:00,10.37,Yentna,2019-03-03T18:27:00Z,2019-03-03T18:31:00Z,2019-03-03T14:24:00Z,243,4,0,0,9,3,0
Jason Campeau,12,3/3 18:26:00,14,3/3 18:32:00,14,0h 6m,4h 6m,3/3 14:20:00,10.24,Yentna,2019-03-03T18:26:00Z,2019-03-03T18:32:00Z,2019-03-03T14:20:00Z,246,6,0,0,7,31,0
Ramey Smyth,6,3/3 18:31:00,14,3/3 18:33:00,14,0h 2m,4h 23m,3/3 14:08:00,9.58,Yentna,2019-03-03T18:31:00Z,2019-03-03T18:33:00Z,2019-03-03T14:08:00Z,263,2,0,0,12,8,0
Lev Shvarts,13,3/3 18:26:00,14,3/3 18:34:00,14,0h 8m,4h 4m,3/3 14:22:00,10.33,Yentna,2019-03-03T18:26:00Z,2019-03-03T18:34:00Z,2019-03-03T14:22:00Z,244,8,0,0,8,NA,0
Anna Berington,10,3/3 18:31:00,14,3/3 18:35:00,14,0h 4m,4h 15m,3/3 14:16:00,9.88,Yentna,2019-03-03T18:31:00Z,2019-03-03T18:35:00Z,2019-03-03T14:16:00Z,255,4,0,0,13,17,0
