musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
3/5 16:45:00,13,3/5 16:49:00,13,0h 4m,6h 8m,3/5 10:37:00,7.83,,,McGrath
3/5 18:40:00,14,3/5 18:44:00,14,0h 4m,6h 31m,3/5 12:09:00,7.37,,,McGrath
3/5 19:23:00,14,3/5 19:24:00,14,0h 1m,7h 0m,3/5 12:23:00,6.86,,,McGrath
3/5 15:17:00,14,3/5 19:33:00,14,4h 16m,6h 9m,3/5 09:08:00,7.80,,,McGrath
3/5 20:22:00,13,3/5 20:23:00,13,0h 1m,7h 22m,3/5 13:00:00,6.52,,,McGrath
3/5 20:36:00,14,3/5 20:43:00,14,0h 7m,6h 55m,3/5 13:41:00,6.94,,,McGrath
3/5 20:47:00,14,3/5 20:50:00,14,0h 3m,6h 17m,3/5 14:30:00,7.64,,,McGrath
3/5 21:26:00,13,3/5 21:28:00,13,0h 2m,6h 46m,3/5 14:40:00,7.09,,,McGrath
3/5 21:49:00,13,3/5 21:51:00,13,0h 2m,6h 17m,3/5 15:32:00,7.64,,,McGrath
3/5 23:16:00,13,3/5 23:19:00,13,0h 3m,6h 56m,3/5 16:20:00,6.92,,,McGrath
3/5 19:47:00,14,3/6 00:00:00,14,4h 13m,6h 53m,3/5 12:54:00,6.97,,,McGrath
3/6 00:01:00,13,3/6 00:06:00,12,0h 5m,7h 21m,3/5 16:40:00,6.53,,,McGrath
3/5 21:44:00,14,3/6 01:27:00,14,3h 43m,6h 30m,3/5 15:14:00,7.38,,,McGrath
3/5 20:51:00,13,3/6 01:30:00,13,4h 39m,6h 42m,3/5 14:09:00,7.16,,,McGrath
3/6 01:28:00,13,3/6 01:30:00,13,0h 2m,7h 13m,3/5 18:15:00,6.65,,,McGrath
3/5 23:24:00,13,3/6 02:05:00,13,2h 41m,7h 25m,3/5 15:59:00,6.47,,,McGrath
3/6 03:25:00,14,3/6 03:27:00,14,0h 2m,7h 10m,3/5 20:15:00,6.70,,,McGrath
3/6 04:06:00,13,3/6 04:07:00,13,0h 1m,7h 32m,3/5 20:34:00,6.37,,,McGrath
3/6 04:10:00,13,3/6 04:20:00,13,0h 10m,7h 55m,3/5 20:15:00,6.06,,,McGrath
3/6 03:20:00,13,3/6 04:33:00,13,1h 13m,7h 48m,3/5 19:32:00,6.15,,,McGrath
3/6 02:39:00,14,3/6 06:35:00,12,3h 56m,7h 37m,3/5 19:02:00,6.30,,,McGrath
3/6 05:27:00,13,3/6 07:35:00,13,2h 8m,7h 48m,3/5 21:39:00,6.15,,,McGrath
3/6 02:40:00,13,3/6 08:58:00,12,6h 18m,7h 34m,3/5 19:06:00,6.34,,,McGrath
3/6 02:43:00,14,3/6 08:59:00,14,6h 16m,7h 38m,3/5 19:05:00,6.29,,,McGrath
3/6 18:53:00,13,3/6 18:56:00,13,0h 3m,9h 51m,3/6 09:02:00,4.87,,,McGrath
3/6 20:44:00,14,3/6 20:46:00,14,0h 2m,9h 22m,3/6 11:22:00,5.12,,,McGrath
3/5 23:22:00,12,3/6 23:56:00,12,24h 34m,7h 10m,3/5 16:12:00,6.70,,,McGrath
3/6 01:40:00,12,3/7 01:54:00,12,24h 14m,7h 24m,3/5 18:16:00,6.49,,,McGrath
3/6 01:48:00,14,3/7 01:57:00,12,24h 9m,7h 23m,3/5 18:25:00,6.50,,,McGrath
3/6 00:52:00,13,3/7 02:12:00,12,25h 20m,6h 47m,3/5 18:05:00,7.08,,,McGrath
3/7 03:29:00,13,3/7 03:31:00,13,0h 2m,6h 42m,3/6 20:47:00,7.16,,,McGrath
3/6 02:13:00,14,3/7 03:47:00,14,25h 34m,7h 52m,3/5 18:21:00,6.10,,,McGrath
3/6 20:04:00,13,3/7 04:39:00,12,8h 35m,8h 19m,3/6 11:45:00,5.77,,,McGrath
3/6 04:04:00,11,3/7 05:00:00,11,24h 56m,7h 40m,3/5 20:24:00,6.26,,,McGrath
3/6 04:28:00,14,3/7 05:04:00,14,24h 36m,8h 0m,3/5 20:28:00,6.00,,,McGrath
3/6 06:03:00,14,3/7 06:20:00,14,24h 17m,7h 23m,3/5 22:40:00,6.50,,,McGrath
3/7 01:09:00,13,3/7 07:06:00,13,5h 57m,9h 54m,3/6 15:15:00,4.85,,,McGrath
3/7 02:49:00,13,3/7 07:06:00,13,4h 17m,6h 1m,3/6 20:48:00,7.98,,,McGrath
3/6 07:39:00,14,3/7 07:52:00,14,24h 13m,7h 20m,3/6 00:19:00,6.55,,,McGrath
3/6 09:38:00,13,3/7 10:16:00,13,24h 38m,7h 31m,3/6 02:07:00,6.39,,,McGrath
3/6 09:29:00,14,3/7 10:41:00,14,25h 12m,7h 15m,3/6 02:14:00,6.62,,,McGrath
3/6 11:15:00,13,3/7 11:33:00,13,24h 18m,7h 20m,3/6 03:55:00,6.55,,,McGrath
3/6 14:25:00,14,3/7 14:44:00,12,24h 19m,9h 14m,3/6 05:11:00,5.20,,,McGrath
3/6 12:40:00,12,3/7 15:30:00,10,26h 50m,8h 54m,3/6 03:46:00,5.39,,,McGrath
3/6 17:04:00,14,3/7 17:26:00,14,24h 22m,7h 14m,3/6 09:50:00,6.64,,,McGrath
3/6 17:42:00,12,3/7 19:08:00,11,25h 26m,8h 23m,3/6 09:19:00,5.73,,,McGrath
3/6 20:16:00,14,3/7 20:24:00,14,24h 8m,6h 31m,3/6 13:45:00,7.37,,,McGrath
3/6 19:14:00,13,3/7 21:22:00,12,26h 8m,7h 49m,3/6 11:25:00,6.14,,,McGrath
3/7 04:22:00,9,3/8 04:44:00,9,24h 22m,8h 9m,3/6 20:13:00,5.89,,,McGrath
3/7 04:07:00,14,3/8 04:53:00,14,24h 46m,7h 50m,3/6 20:17:00,6.13,,,McGrath
3/7 03:25:00,14,3/8 05:23:00,14,25h 58m,7h 1m,3/6 20:24:00,6.84,,,McGrath
