musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,checkName
19,3/6 06:04:00,14,3/6 08:09:00,14,2h 5m,3h 26m,3/6 02:38:00,6.70,,,Ophir
21,3/6 12:12:00,12,3/6 18:23:00,12,6h 11m,3h 3m,3/6 09:09:00,7.54,,,Ophir
28,3/6 22:50:00,13,3/6 23:00:00,12,0h 10m,2h 52m,3/6 19:58:00,8.02,,,Ophir
14,3/7 01:13:00,14,3/7 01:23:00,14,0h 10m,2h 40m,3/6 22:33:00,8.63,,,Ophir
9,3/7 02:07:00,14,3/7 02:13:00,14,0h 6m,2h 40m,3/6 23:27:00,8.63,,,Ophir
20,3/6 01:08:00,14,3/7 02:17:00,14,25h 9m,3h 3m,3/5 22:05:00,7.54,,,Ophir
29,3/7 02:44:00,14,3/7 02:46:00,14,0h 2m,2h 38m,3/7 00:06:00,8.73,,,Ophir
22,3/7 03:14:00,14,3/7 03:24:00,14,0h 10m,2h 43m,3/7 00:31:00,8.47,,,Ophir
32,3/7 03:19:00,13,3/7 03:30:00,12,0h 11m,2h 42m,3/7 00:37:00,8.52,,,Ophir
17,3/7 04:07:00,13,3/7 04:12:00,13,0h 5m,2h 43m,3/7 01:24:00,8.47,,,Ophir
36,3/7 05:14:00,12,3/7 05:19:00,12,0h 5m,2h 55m,3/7 02:19:00,7.89,,,Ophir
40,3/7 05:15:00,13,3/7 05:22:00,13,0h 7m,2h 39m,3/7 02:36:00,8.68,,,Ophir
3,3/7 03:48:00,13,3/7 05:48:00,13,2h 0m,2h 57m,3/7 00:51:00,7.80,,,Ophir
51,3/7 06:40:00,13,3/7 06:47:00,13,0h 7m,2h 35m,3/7 04:05:00,8.90,,,Ophir
52,3/7 07:11:00,12,3/7 07:18:00,12,0h 7m,2h 50m,3/7 04:21:00,8.12,,,Ophir
4,3/7 07:37:00,12,3/7 07:41:00,12,0h 4m,2h 40m,3/7 04:57:00,8.63,,,Ophir
15,3/7 08:14:00,13,3/7 08:21:00,13,0h 7m,2h 42m,3/7 05:32:00,8.52,,,Ophir
5,3/6 07:20:00,14,3/7 09:01:00,14,25h 41m,3h 23m,3/6 03:57:00,6.80,,,Ophir
38,3/6 08:48:00,13,3/7 09:18:00,12,24h 30m,3h 40m,3/6 05:08:00,6.27,,,Ophir
13,3/7 07:15:00,12,3/7 09:25:00,11,2h 10m,2h 44m,3/7 04:31:00,8.41,,,Ophir
6,3/7 09:26:00,14,3/7 09:37:00,13,0h 11m,3h 1m,3/7 06:25:00,7.62,,,Ophir
47,3/7 07:21:00,11,3/7 09:44:00,10,2h 23m,2h 53m,3/7 04:28:00,7.98,,,Ophir
23,3/7 09:27:00,14,3/7 09:50:00,14,0h 23m,2h 26m,3/7 07:01:00,9.45,,,Ophir
35,3/7 10:23:00,13,3/7 10:48:00,13,0h 25m,2h 53m,3/7 07:30:00,7.98,,,Ophir
43,3/7 10:35:00,13,3/7 10:51:00,13,0h 16m,2h 48m,3/7 07:47:00,8.21,,,Ophir
31,3/7 10:52:00,13,3/7 11:02:00,12,0h 10m,2h 45m,3/7 08:07:00,8.36,,,Ophir
45,3/7 11:24:00,14,3/7 11:33:00,14,0h 9m,2h 53m,3/7 08:31:00,7.98,,,Ophir
12,3/7 11:29:00,13,3/7 11:38:00,12,0h 9m,2h 48m,3/7 08:41:00,8.21,,,Ophir
25,3/7 10:06:00,11,3/7 14:10:00,10,4h 4m,2h 48m,3/7 07:18:00,8.21,,,Ophir
33,3/7 14:15:00,13,3/7 14:25:00,13,0h 10m,2h 56m,3/7 11:19:00,7.84,,,Ophir
10,3/6 15:42:00,14,3/7 17:08:00,13,25h 26m,3h 55m,3/6 11:47:00,5.87,,,Ophir
26,3/6 15:43:00,12,3/7 17:08:00,12,25h 25m,3h 56m,3/6 11:47:00,5.85,,,Ophir
50,3/7 13:04:00,14,3/7 17:27:00,13,4h 23m,2h 52m,3/7 10:12:00,8.02,,,Ophir
34,3/7 15:52:00,12,3/7 20:13:00,12,4h 21m,3h 4m,3/7 12:48:00,7.50,,,Ophir
44,3/7 17:16:00,13,3/7 20:33:00,13,3h 17m,2h 45m,3/7 14:31:00,8.36,,,Ophir
24,3/7 16:02:00,14,3/7 21:59:00,13,5h 57m,2h 46m,3/7 13:16:00,8.31,,,Ophir
27,3/7 15:34:00,13,3/7 22:53:00,11,7h 19m,4h 14m,3/7 11:20:00,5.43,,,Ophir
46,3/7 20:52:00,12,3/8 01:31:00,12,4h 39m,3h 11m,3/7 17:41:00,7.23,,,Ophir
39,3/8 01:30:00,13,3/8 01:37:00,13,0h 7m,3h 1m,3/7 22:29:00,7.62,,,Ophir
18,3/7 21:30:00,9,3/8 03:55:00,9,6h 25m,3h 13m,3/7 18:17:00,7.15,,,Ophir
42,3/7 22:27:00,14,3/8 04:36:00,14,6h 9m,2h 44m,3/7 19:43:00,8.41,,,Ophir
49,3/8 01:15:00,14,3/8 07:22:00,14,6h 7m,2h 33m,3/7 22:42:00,9.02,,,Ophir
11,3/8 03:22:00,11,3/8 07:42:00,11,4h 20m,3h 6m,3/8 00:16:00,7.42,,,Ophir
2,3/8 03:05:00,12,3/8 09:40:00,11,6h 35m,3h 5m,3/8 00:00:00,7.46,,,Ophir
8,3/8 05:03:00,14,3/8 09:42:00,14,4h 39m,3h 41m,3/8 01:22:00,6.24,,,Ophir
41,3/8 10:34:00,12,3/8 15:43:00,11,5h 9m,3h 0m,3/8 07:34:00,7.67,,,Ophir
37,3/8 13:55:00,13,3/8 16:12:00,13,2h 17m,3h 4m,3/8 10:51:00,7.50,,,Ophir
53,3/8 11:32:00,12,3/8 16:42:00,12,5h 10m,3h 1m,3/8 08:31:00,7.62,,,Ophir
30,3/8 11:31:00,14,3/8 18:33:00,14,7h 2m,3h 43m,3/8 07:48:00,6.19,,,Ophir
16,3/8 10:54:00,14,3/8 18:50:00,14,7h 56m,3h 4m,3/8 07:50:00,7.50,,,Ophir
48,3/8 11:51:00,9,3/8 18:57:00,9,7h 6m,3h 45m,3/8 08:06:00,6.13,,,Ophir
