musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkName
3/5 22:04:00,14,3/5 22:05:00,14,0h 1m,2h 31m,3/5 19:33:00,7.15,,,Takotna
3/6 02:35:00,14,3/6 02:38:00,14,0h 3m,2h 35m,3/6 00:00:00,6.97,,,Takotna
3/6 03:56:00,14,3/6 03:57:00,14,0h 1m,2h 29m,3/6 01:27:00,7.25,,,Takotna
3/6 05:01:00,13,3/6 05:08:00,13,0h 7m,2h 56m,3/6 02:05:00,6.14,,,Takotna
3/6 09:08:00,12,3/6 09:09:00,12,0h 1m,2h 33m,3/6 06:35:00,7.06,,,Takotna
3/6 11:40:00,14,3/6 11:47:00,14,0h 7m,2h 41m,3/6 08:59:00,6.71,,,Takotna
3/6 11:41:00,12,3/6 11:47:00,12,0h 6m,2h 43m,3/6 08:58:00,6.63,,,Takotna
3/5 19:08:00,13,3/6 19:58:00,13,24h 50m,2h 19m,3/5 16:49:00,7.77,,,Takotna
3/5 21:15:00,14,3/6 22:33:00,14,25h 18m,2h 31m,3/5 18:44:00,7.15,,,Takotna
3/5 21:59:00,14,3/6 23:27:00,14,25h 28m,2h 35m,3/5 19:24:00,6.97,,,Takotna
3/5 23:18:00,14,3/7 00:06:00,14,24h 48m,2h 28m,3/5 20:50:00,7.30,,,Takotna
3/5 23:29:00,14,3/7 00:31:00,14,25h 2m,2h 46m,3/5 20:43:00,6.51,,,Takotna
3/5 23:55:00,13,3/7 00:37:00,13,24h 42m,2h 27m,3/5 21:28:00,7.35,,,Takotna
3/5 23:11:00,13,3/7 00:51:00,13,25h 40m,2h 48m,3/5 20:23:00,6.43,,,Takotna
3/6 00:12:00,13,3/7 01:24:00,13,25h 12m,2h 21m,3/5 21:51:00,7.66,,,Takotna
3/7 02:18:00,12,3/7 02:19:00,12,0h 1m,2h 22m,3/6 23:56:00,7.61,,,Takotna
3/6 02:10:00,13,3/7 02:36:00,13,24h 26m,2h 51m,3/5 23:19:00,6.32,,,Takotna
3/6 04:01:00,13,3/7 04:05:00,13,24h 4m,2h 31m,3/6 01:30:00,7.15,,,Takotna
3/7 04:18:00,12,3/7 04:21:00,12,0h 3m,2h 21m,3/7 01:57:00,7.66,,,Takotna
3/7 04:21:00,12,3/7 04:28:00,11,0h 7m,2h 27m,3/7 01:54:00,7.35,,,Takotna
3/7 04:28:00,12,3/7 04:31:00,12,0h 3m,2h 16m,3/7 02:12:00,7.94,,,Takotna
3/6 03:19:00,12,3/7 04:57:00,12,25h 38m,3h 13m,3/6 00:06:00,5.60,,,Takotna
3/6 04:16:00,13,3/7 05:32:00,13,25h 16m,2h 46m,3/6 01:30:00,6.51,,,Takotna
3/7 06:22:00,14,3/7 06:25:00,14,0h 3m,2h 35m,3/7 03:47:00,6.97,,,Takotna
3/6 06:01:00,14,3/7 07:01:00,14,25h 0m,2h 34m,3/6 03:27:00,7.01,,,Takotna
3/7 07:17:00,11,3/7 07:18:00,11,0h 1m,2h 17m,3/7 05:00:00,7.88,,,Takotna
3/7 07:27:00,14,3/7 07:30:00,13,0h 3m,2h 23m,3/7 05:04:00,7.55,,,Takotna
3/6 07:27:00,13,3/7 07:47:00,13,24h 20m,2h 54m,3/6 04:33:00,6.21,,,Takotna
3/6 07:23:00,13,3/7 08:07:00,13,24h 44m,3h 3m,3/6 04:20:00,5.90,,,Takotna
3/7 08:31:00,14,3/7 08:31:00,14,0h 0m,2h 11m,3/7 06:20:00,8.24,,,Takotna
3/6 07:19:00,13,3/7 08:41:00,13,25h 22m,3h 12m,3/6 04:07:00,5.63,,,Takotna
3/7 10:04:00,14,3/7 10:12:00,14,0h 8m,2h 12m,3/7 07:52:00,8.18,,,Takotna
3/6 10:39:00,13,3/7 11:19:00,13,24h 40m,3h 4m,3/6 07:35:00,5.87,,,Takotna
3/7 10:19:00,13,3/7 11:20:00,13,1h 1m,3h 13m,3/7 07:06:00,5.60,,,Takotna
3/7 12:46:00,13,3/7 12:48:00,12,0h 2m,2h 30m,3/7 10:16:00,7.20,,,Takotna
3/7 13:06:00,14,3/7 13:16:00,14,0h 10m,2h 25m,3/7 10:41:00,7.45,,,Takotna
3/7 13:56:00,13,3/7 14:31:00,13,0h 35m,2h 23m,3/7 11:33:00,7.55,,,Takotna
3/7 17:38:00,12,3/7 17:41:00,12,0h 3m,2h 54m,3/7 14:44:00,6.21,,,Takotna
3/7 18:11:00,10,3/7 18:17:00,9,0h 6m,2h 41m,3/7 15:30:00,6.71,,,Takotna
3/7 19:42:00,14,3/7 19:43:00,14,0h 1m,2h 16m,3/7 17:26:00,7.94,,,Takotna
3/6 21:59:00,13,3/7 22:29:00,13,24h 30m,3h 3m,3/6 18:56:00,5.90,,,Takotna
3/7 22:33:00,14,3/7 22:42:00,14,0h 9m,2h 9m,3/7 20:24:00,8.37,,,Takotna
3/7 23:58:00,12,3/8 00:00:00,12,0h 2m,2h 36m,3/7 21:22:00,6.92,,,Takotna
3/7 21:58:00,11,3/8 00:16:00,11,2h 18m,2h 50m,3/7 19:08:00,6.35,,,Takotna
3/6 23:49:00,14,3/8 01:22:00,14,25h 33m,3h 3m,3/6 20:46:00,5.90,,,Takotna
3/7 07:10:00,12,3/8 07:34:00,12,24h 24m,2h 31m,3/7 04:39:00,7.15,,,Takotna
3/8 07:40:00,14,3/8 07:48:00,14,0h 8m,2h 47m,3/8 04:53:00,6.47,,,Takotna
3/8 07:49:00,14,3/8 07:50:00,14,0h 1m,2h 26m,3/8 05:23:00,7.40,,,Takotna
3/8 07:35:00,9,3/8 08:06:00,9,0h 31m,2h 51m,3/8 04:44:00,6.32,,,Takotna
3/7 06:24:00,13,3/8 08:31:00,12,26h 7m,2h 53m,3/7 03:31:00,6.24,,,Takotna
3/7 10:18:00,13,3/8 10:51:00,13,24h 33m,3h 12m,3/7 07:06:00,5.63,,,Takotna
