musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Matt Hall,3,3/3 21:38:00,14,3/3 21:44:00,14,0h 6m,3h 21m,3/3 18:17:00,8.96,,,Skwentna
Nicolas Petit,20,3/3 21:49:00,14,3/3 21:52:00,14,0h 3m,3h 11m,3/3 18:38:00,9.42,,,Skwentna
Linwood Fiedler,15,3/3 23:15:00,14,3/3 23:22:00,14,0h 7m,4h 49m,3/3 18:26:00,6.23,,,Skwentna
Peter Kaiser,9,3/3 23:33:00,14,3/3 23:40:00,14,0h 7m,5h 4m,3/3 18:29:00,5.92,,,Skwentna
Aliy Zirkle,19,3/4 00:43:00,14,3/4 00:47:00,14,0h 4m,6h 5m,3/3 18:38:00,4.93,,,Skwentna
Joar Leifseth Ulsom,28,3/4 01:03:00,14,3/4 01:06:00,14,0h 3m,6h 11m,3/3 18:52:00,4.85,,,Skwentna
Richie Diehl,29,3/4 01:04:00,14,3/4 01:07:00,14,0h 3m,6h 11m,3/3 18:53:00,4.85,,,Skwentna
Jason Campeau,12,3/4 01:09:00,14,3/4 01:09:00,14,0h 0m,6h 37m,3/3 18:32:00,4.53,,,Skwentna
Jessie Royer,14,3/4 01:07:00,14,3/4 01:12:00,14,0h 5m,6h 36m,3/3 18:31:00,4.55,,,Skwentna
Brett Bruggeman,35,3/4 01:01:00,14,3/4 01:15:00,14,0h 14m,5h 31m,3/3 19:30:00,5.44,,,Skwentna
Blair Braverman,11,3/4 01:03:00,14,3/4 01:19:00,14,0h 16m,3h 27m,3/3 21:36:00,8.70,,,Skwentna
Mats Pettersson,4,3/3 21:40:00,14,3/4 01:37:00,14,3h 57m,3h 12m,3/3 18:28:00,9.38,,,Skwentna
Ryan Redington,22,3/3 22:25:00,14,3/4 01:37:00,14,3h 12m,3h 5m,3/3 19:20:00,9.73,,,Skwentna
Lev Shvarts,13,3/4 01:24:00,14,3/4 01:40:00,14,0h 16m,6h 50m,3/3 18:34:00,4.39,,,Skwentna
Paige Drobny,40,3/4 01:32:00,14,3/4 01:42:00,14,0h 10m,5h 59m,3/3 19:33:00,5.01,,,Skwentna
Aaron Peck,47,3/4 01:27:00,14,3/4 01:46:00,14,0h 19m,5h 29m,3/3 19:58:00,5.47,,,Skwentna
Ed Hopkins,33,3/4 01:49:00,14,3/4 01:56:00,14,0h 7m,6h 19m,3/3 19:30:00,4.75,,,Skwentna
Aaron Burmeister,38,3/4 01:55:00,14,3/4 02:00:00,14,0h 5m,6h 17m,3/3 19:38:00,4.77,,,Skwentna
Martin Buser,21,3/4 02:14:00,14,3/4 02:18:00,14,0h 4m,7h 30m,3/3 18:44:00,4.00,,,Skwentna
Matthew Failor,17,3/3 23:42:00,14,3/4 02:33:00,14,2h 51m,3h 10m,3/3 20:32:00,9.47,,,Skwentna
Sebastien Dos Santos Borges,46,3/4 02:29:00,14,3/4 02:51:00,14,0h 22m,6h 11m,3/3 20:18:00,4.85,,,Skwentna
Mitch Seavey,32,3/3 22:56:00,14,3/4 02:53:00,14,3h 57m,3h 21m,3/3 19:35:00,8.96,,,Skwentna
Richie Beattie,50,3/4 02:51:00,14,3/4 03:01:00,14,0h 10m,6h 25m,3/3 20:26:00,4.68,,,Skwentna
Travis Beals,51,3/3 23:22:00,14,3/4 03:11:00,14,3h 49m,3h 39m,3/3 19:43:00,8.22,,,Skwentna
Ramey Smyth,6,3/3 22:10:00,14,3/4 03:17:00,14,5h 7m,3h 37m,3/3 18:33:00,8.29,,,Skwentna
Wade Marrs,36,3/3 23:38:00,14,3/4 03:21:00,14,3h 43m,3h 10m,3/3 20:28:00,9.47,,,Skwentna
Jessie Holmes,5,3/3 20:58:00,14,3/4 03:24:00,14,6h 26m,2h 55m,3/3 18:03:00,10.29,,,Skwentna
Charley Bejna,31,3/3 22:23:00,14,3/4 03:26:00,14,5h 3m,3h 5m,3/3 19:18:00,9.73,,,Skwentna
Anja Radano,2,3/4 03:14:00,14,3/4 03:28:00,14,0h 14m,8h 25m,3/3 18:49:00,3.56,,,Skwentna
Anna Berington,10,3/3 22:01:00,14,3/4 03:32:00,14,5h 31m,3h 26m,3/3 18:35:00,8.74,,,Skwentna
Kristy Berington,26,3/3 22:20:00,14,3/4 03:34:00,13,5h 14m,3h 24m,3/3 18:56:00,8.82,,,Skwentna
Jeff Deeter,25,3/4 00:39:00,13,3/4 03:43:00,13,3h 4m,3h 25m,3/3 21:14:00,8.78,,,Skwentna
Jeff King,23,3/3 21:51:00,14,3/4 03:57:00,14,6h 6m,3h 13m,3/3 18:38:00,9.33,,,Skwentna
