musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Nicolas Petit,20,3/4 17:52:00,14,3/4 18:12:00,14,0h 20m,8h 38m,3/4 09:14:00,4.05,,,Rohn
Joar Leifseth Ulsom,28,3/4 18:30:00,13,3/4 18:37:00,13,0h 7m,3h 38m,3/4 14:52:00,9.63,,,Rohn
Ryan Redington,22,3/4 19:06:00,14,3/4 19:18:00,14,0h 12m,3h 50m,3/4 15:16:00,9.13,,,Rohn
Aliy Zirkle,19,3/4 19:12:00,14,3/4 19:54:00,14,0h 42m,3h 53m,3/4 15:19:00,9.01,,,Rohn
Jessie Royer,14,3/4 19:44:00,14,3/4 20:03:00,14,0h 19m,3h 45m,3/4 15:59:00,9.33,,,Rohn
Matt Hall,3,3/4 19:55:00,14,3/4 20:06:00,14,0h 11m,4h 4m,3/4 15:51:00,8.61,,,Rohn
Mitch Seavey,32,3/4 20:11:00,14,3/4 20:31:00,13,0h 20m,3h 49m,3/4 16:22:00,9.17,,,Rohn
Richie Diehl,29,3/4 20:30:00,14,3/4 20:41:00,14,0h 11m,3h 48m,3/4 16:42:00,9.21,,,Rohn
Travis Beals,51,3/4 20:53:00,14,3/4 20:53:00,13,0h 0m,3h 55m,3/4 16:58:00,8.94,,,Rohn
Peter Kaiser,9,3/4 18:18:00,14,3/4 21:16:00,14,2h 58m,8h 53m,3/4 09:25:00,3.94,,,Rohn
Matthew Failor,17,3/4 21:21:00,14,3/4 21:33:00,14,0h 12m,3h 56m,3/4 17:25:00,8.90,,,Rohn
Ramey Smyth,6,3/4 22:08:00,14,3/4 22:08:00,14,0h 0m,4h 43m,3/4 17:25:00,7.42,,,Rohn
Paige Drobny,40,3/4 22:10:00,13,3/4 22:26:00,13,0h 16m,4h 22m,3/4 17:48:00,8.02,,,Rohn
Martin Buser,21,3/4 23:16:00,14,3/4 23:24:00,14,0h 8m,4h 15m,3/4 19:01:00,8.24,,,Rohn
Lev Shvarts,13,3/4 22:58:00,13,3/4 23:46:00,13,0h 48m,4h 17m,3/4 18:41:00,8.17,,,Rohn
Jeff Deeter,25,3/4 23:33:00,12,3/4 23:52:00,12,0h 19m,4h 37m,3/4 18:56:00,7.58,,,Rohn
Charley Bejna,31,3/4 23:45:00,13,3/5 00:25:00,13,0h 40m,4h 19m,3/4 19:26:00,8.11,,,Rohn
Wade Marrs,36,3/4 21:25:00,14,3/5 01:33:00,14,4h 8m,4h 1m,3/4 17:24:00,8.71,,,Rohn
