musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Nicolas Petit,20,3/10 09:46:00 *,10,3/10 14:48:00,10,5h 2m,10h 57m,3/9 21:49:00,7.76,,,Unalakleet
Peter Kaiser,9,3/10 16:37:00 *,11,3/10 16:40:00,10,0h 3m,14h 46m,3/10 00:51:00,5.76,,,Unalakleet
Joar Leifseth Ulsom,28,3/10 16:40:00 *,10,3/10 16:40:00,10,0h 0m,15h 56m,3/9 23:44:00,5.33,,,Unalakleet
Jessie Royer,14,3/10 16:43:00 *,13,3/10 16:45:00,13,0h 2m,15h 56m,3/9 23:47:00,5.33,,,Unalakleet
Mitch Seavey,32,3/10 20:18:00,9,3/10 20:25:00,9,0h 7m,16h 31m,3/10 03:47:00,5.15,,,Unalakleet
Jessie Holmes,5,3/10 20:40:00,11,3/11 00:30:00,11,3h 50m,13h 43m,3/10 06:57:00,6.20,,,Unalakleet
Aliy Zirkle,19,3/10 20:43:00,13,3/11 01:00:00,12,4h 17m,13h 6m,3/10 07:37:00,6.49,,,Unalakleet
Matt Hall,3,3/10 23:34:00,9,3/11 03:31:00,9,3h 57m,17h 29m,3/10 06:05:00,4.86,,,Unalakleet
Matthew Failor,17,3/10 23:30:00,11,3/11 03:40:00,11,4h 10m,15h 29m,3/10 08:01:00,5.49,,,Unalakleet
Paige Drobny,40,3/11 00:47:00,12,3/11 04:37:00,12,3h 50m,15h 53m,3/10 08:54:00,5.35,,,Unalakleet
Aaron Burmeister,38,3/11 01:04:00,11,3/11 05:25:00,11,4h 21m,14h 12m,3/10 10:52:00,5.99,,,Unalakleet
Travis Beals,51,3/11 00:47:00,10,3/11 05:39:00,10,4h 52m,12h 51m,3/10 11:56:00,6.61,,,Unalakleet
Ryan Redington,22,3/11 01:02:00,9,3/11 05:44:00,9,4h 42m,15h 17m,3/10 09:45:00,5.56,,,Unalakleet
Mats Pettersson,4,3/11 02:36:00,11,3/11 06:36:00,9,4h 0m,14h 50m,3/10 11:46:00,5.73,,,Unalakleet
Richie Diehl,29,3/11 04:51:00,10,3/11 09:55:00,10,5h 4m,15h 26m,3/10 13:25:00,5.51,,,Unalakleet
Ramey Smyth,6,3/11 04:13:00,12,3/11 10:09:00,12,5h 56m,12h 28m,3/10 15:45:00,6.82,,,Unalakleet
Linwood Fiedler,15,3/11 03:30:00,12,3/11 10:19:00,12,6h 49m,12h 11m,3/10 15:19:00,6.98,,,Unalakleet
Jeff King,23,3/11 05:42:00,13,3/11 10:32:00,13,4h 50m,10h 50m,3/10 18:52:00,7.85,,,Unalakleet
Wade Marrs,36,3/11 10:08:00,9,3/11 15:25:00,9,5h 17m,13h 48m,3/10 20:20:00,6.16,,,Unalakleet
