musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Peter Kaiser,9,3/11 21:57:00,9,3/12 00:41:00,8,2h 44m,7h 42m,3/11 14:15:00,6.23,,,Elim
Joar Leifseth Ulsom,28,3/11 22:47:00,8,3/12 00:46:00,8,1h 59m,7h 32m,3/11 15:15:00,6.37,,,Elim
Jessie Royer,14,3/12 00:47:00,11,3/12 04:46:00,11,3h 59m,7h 52m,3/11 16:55:00,6.10,,,Elim
Aliy Zirkle,19,3/12 08:06:00,11,3/12 12:11:00,11,4h 5m,7h 37m,3/12 00:29:00,6.30,,,Elim
Matt Hall,3,3/12 10:44:00,9,3/12 14:28:00,9,3h 44m,7h 24m,3/12 03:20:00,6.49,,,Elim
Travis Beals,51,3/12 13:04:00,9,3/12 15:21:00,8,2h 17m,6h 49m,3/12 06:15:00,7.04,,,Elim
Paige Drobny,40,3/12 13:26:00,12,3/12 15:57:00,12,2h 31m,6h 44m,3/12 06:42:00,7.13,,,Elim
Mitch Seavey,32,3/12 12:27:00,9,3/12 16:05:00,9,3h 38m,7h 25m,3/12 05:02:00,6.47,,,Elim
Ramey Smyth,6,3/12 16:16:00,12,3/12 18:32:00,11,2h 16m,7h 15m,3/12 09:01:00,6.62,,,Elim
Aaron Burmeister,38,3/12 15:56:00,11,3/12 19:40:00,11,3h 44m,8h 13m,3/12 07:43:00,5.84,,,Elim
Richie Diehl,29,3/12 18:10:00,10,3/12 22:08:00,10,3h 58m,6h 47m,3/12 11:23:00,7.08,,,Elim
Linwood Fiedler,15,3/12 20:35:00,12,3/13 00:04:00,12,3h 29m,6h 27m,3/12 14:08:00,7.44,,,Elim
Jeff King,23,3/12 19:48:00,13,3/13 02:53:00,13,7h 5m,6h 27m,3/12 13:21:00,7.44,,,Elim
Wade Marrs,36,3/12 22:58:00,9,3/13 03:46:00,9,4h 48m,6h 16m,3/12 16:42:00,7.66,,,Elim
Mats Pettersson,4,3/12 22:42:00,8,3/13 04:03:00,8,5h 21m,8h 46m,3/12 13:56:00,5.48,,,Elim
Jeff Deeter,25,3/13 04:49:00,8,3/13 09:51:00,7,5h 2m,6h 39m,3/12 22:10:00,7.22,,,Elim
Kristy Berington,26,3/13 04:51:00,11,3/13 11:32:00,11,6h 41m,7h 12m,3/12 21:39:00,6.67,,,Elim
Anna Berington,10,3/13 04:52:00,9,3/13 11:34:00,9,6h 42m,7h 13m,3/12 21:39:00,6.65,,,Elim
Seth Barnes,45,3/13 05:16:00,10,3/13 11:35:00,8,6h 19m,7h 12m,3/12 22:04:00,6.67,,,Elim
Matthew Failor,17,3/13 11:36:00,10,3/13 15:27:00,10,3h 51m,6h 47m,3/13 04:49:00,7.08,,,Elim
Aaron Peck,47,3/13 11:49:00,7,3/13 16:17:00,7,4h 28m,7h 4m,3/13 04:45:00,6.79,,,Elim
Jessie Holmes,5,3/13 13:51:00,9,3/13 19:19:00,9,5h 28m,36h 26m,3/12 01:25:00,1.32,,,Elim
Richie Beattie,50,3/13 13:48:00,10,3/13 19:20:00,9,5h 32m,7h 54m,3/13 05:54:00,6.08,,,Elim
Ed Hopkins,33,3/13 15:29:00,11,3/13 20:33:00,10,5h 4m,7h 39m,3/13 07:50:00,6.27,,,Elim
Martin Buser,21,3/13 16:41:00,12,3/14 00:26:00,12,7h 45m,7h 0m,3/13 09:41:00,6.86,,,Elim
Charley Bejna,31,3/13 13:53:00,8,3/14 00:27:00,7,10h 34m,9h 5m,3/13 04:48:00,5.28,,,Elim
Michi Konno,43,3/13 18:13:00,8,3/14 00:42:00,8,6h 29m,8h 1m,3/13 10:12:00,5.99,,,Elim
Sarah Stokey,52,3/13 18:46:00,10,3/14 00:47:00,10,6h 1m,9h 14m,3/13 09:32:00,5.20,,,Elim
Lance Mackey,44,3/14 02:39:00,12,3/14 09:34:00,12,6h 55m,6h 17m,3/13 20:22:00,7.64,,,Elim
Jason Campeau,12,3/14 04:15:00,9,3/14 09:34:00,8,5h 19m,6h 50m,3/13 21:25:00,7.02,,,Elim
Ryan Santiago,49,3/14 12:04:00,13,3/14 18:46:00,13,6h 42m,5h 26m,3/14 06:38:00,8.83,,,Elim
Jessica Klejka,24,3/14 13:05:00,11,3/14 18:58:00,11,5h 53m,6h 27m,3/14 06:38:00,7.44,,,Elim
Martin Apayauq Reitan,39,3/14 13:07:00,13,3/14 19:02:00,12,5h 55m,6h 29m,3/14 06:38:00,7.40,,,Elim
Michael Baker,41,3/15 14:32:00,9,3/15 21:16:00,9,6h 44m,6h 49m,3/15 07:43:00,7.04,,,Elim
Alison Lifka,37,3/15 15:07:00,12,3/15 22:22:00,12,7h 15m,6h 17m,3/15 08:50:00,7.64,,,Elim
Blair Braverman,11,3/15 21:37:00,10,3/16 02:12:00,10,4h 35m,8h 8m,3/15 13:29:00,5.90,,,Elim
Anja Radano,2,3/15 17:50:00,10,3/16 02:25:00,10,8h 35m,8h 22m,3/15 09:28:00,5.74,,,Elim
Kristin Bacon,8,3/15 17:52:00,11,3/16 02:40:00,11,8h 48m,8h 29m,3/15 09:23:00,5.66,,,Elim
Jeremy Keller,48,3/15 23:20:00,8,3/16 06:38:00,8,7h 18m,6h 38m,3/15 16:42:00,7.24,,,Elim
Victoria Hardwick,30,3/15 22:03:00,11,3/16 06:39:00,11,8h 36m,8h 33m,3/15 13:30:00,5.61,,,Elim
Cindy Gallea,53,3/15 23:22:00,7,3/16 07:06:00,7,7h 44m,7h 29m,3/15 15:53:00,6.41,,,Elim
