musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Nicolas Petit,20,3/5 09:04:00,14,3/5 09:08:00,14,0h 4m,14h 52m,3/4 18:12:00,5.04,,,Nikolai
Joar Leifseth Ulsom,28,3/5 06:36:00,13,3/5 10:37:00,13,4h 1m,11h 59m,3/4 18:37:00,6.26,,,Nikolai
Jessie Royer,14,3/5 08:10:00,14,3/5 12:09:00,14,3h 59m,12h 7m,3/4 20:03:00,6.19,,,Nikolai
Peter Kaiser,9,3/5 07:54:00,14,3/5 12:23:00,14,4h 29m,10h 38m,3/4 21:16:00,7.05,,,Nikolai
Aliy Zirkle,19,3/5 08:58:00,14,3/5 12:54:00,14,3h 56m,13h 4m,3/4 19:54:00,5.74,,,Nikolai
Matt Hall,3,3/5 09:01:00,14,3/5 13:00:00,13,3h 59m,12h 55m,3/4 20:06:00,5.81,,,Nikolai
Ryan Redington,22,3/5 09:10:00,14,3/5 13:41:00,14,4h 31m,13h 52m,3/4 19:18:00,5.41,,,Nikolai
Travis Beals,51,3/5 09:46:00,13,3/5 14:09:00,13,4h 23m,12h 53m,3/4 20:53:00,5.82,,,Nikolai
Richie Diehl,29,3/5 09:27:00,14,3/5 14:30:00,14,5h 3m,12h 46m,3/4 20:41:00,5.87,,,Nikolai
Mitch Seavey,32,3/5 10:00:00,13,3/5 14:40:00,13,4h 40m,13h 29m,3/4 20:31:00,5.56,,,Nikolai
Jessie Holmes,5,3/5 10:09:00,14,3/5 15:14:00,14,5h 5m,8h 25m,3/5 01:44:00,8.91,,,Nikolai
Matthew Failor,17,3/5 10:44:00,14,3/5 15:32:00,13,4h 48m,13h 11m,3/4 21:33:00,5.69,,,Nikolai
Aaron Burmeister,38,3/5 11:24:00,13,3/5 15:59:00,13,4h 35m,9h 44m,3/5 01:40:00,7.71,,,Nikolai
Wade Marrs,36,3/5 12:19:00,14,3/5 16:12:00,12,3h 53m,10h 46m,3/5 01:33:00,6.97,,,Nikolai
Paige Drobny,40,3/5 12:02:00,13,3/5 16:20:00,13,4h 18m,13h 36m,3/4 22:26:00,5.51,,,Nikolai
Mats Pettersson,4,3/5 11:42:00,14,3/5 16:40:00,13,4h 58m,9h 32m,3/5 02:10:00,7.87,,,Nikolai
Lev Shvarts,13,3/5 12:56:00,13,3/5 18:05:00,13,5h 9m,13h 10m,3/4 23:46:00,5.70,,,Nikolai
Linwood Fiedler,15,3/5 11:59:00,13,3/5 18:15:00,13,6h 16m,10h 3m,3/5 01:56:00,7.46,,,Nikolai
Aaron Peck,47,3/5 18:16:00,13,3/5 18:16:00,12,0h 0m,14h 9m,3/5 04:07:00,5.30,,,Nikolai
Ramey Smyth,6,3/5 13:21:00,14,3/5 18:21:00,14,5h 0m,15h 13m,3/4 22:08:00,4.93,,,Nikolai
