musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Nicolas Petit,20,3/7 12:13:00,14,3/7 12:22:00,14,0h 9m,9h 56m,3/7 02:17:00,8.05,,,Iditarod
Joar Leifseth Ulsom,28,3/7 12:37:00,12,3/7 16:52:00,11,4h 15m,13h 37m,3/6 23:00:00,5.88,,,Iditarod
Jessie Royer,14,3/7 15:45:00,14,3/7 20:04:00,14,4h 19m,14h 22m,3/7 01:23:00,5.57,,,Iditarod
Peter Kaiser,9,3/7 16:48:00,14,3/7 21:40:00,12,4h 52m,14h 35m,3/7 02:13:00,5.49,,,Iditarod
Ryan Redington,22,3/7 17:51:00,14,3/7 21:41:00,13,3h 50m,14h 27m,3/7 03:24:00,5.54,,,Iditarod
Mitch Seavey,32,3/7 17:40:00,12,3/7 21:44:00,11,4h 4m,14h 10m,3/7 03:30:00,5.65,,,Iditarod
Richie Diehl,29,3/7 16:51:00,14,3/7 21:49:00,14,4h 58m,14h 5m,3/7 02:46:00,5.68,,,Iditarod
Matthew Failor,17,3/7 19:12:00,13,3/8 00:18:00,12,5h 6m,15h 0m,3/7 04:12:00,5.33,,,Iditarod
Paige Drobny,40,3/7 19:38:00,13,3/8 00:28:00,13,4h 50m,14h 16m,3/7 05:22:00,5.61,,,Iditarod
Matt Hall,3,3/7 20:50:00,13,3/8 00:52:00,12,4h 2m,15h 2m,3/7 05:48:00,5.32,,,Iditarod
Jessie Holmes,5,3/7 18:56:00,14,3/8 01:12:00,14,6h 16m,9h 55m,3/7 09:01:00,8.07,,,Iditarod
Mats Pettersson,4,3/7 21:46:00,12,3/8 02:16:00,12,4h 30m,14h 5m,3/7 07:41:00,5.68,,,Iditarod
Aliy Zirkle,19,3/7 01:38:00,14,3/8 02:46:00,14,25h 8m,17h 29m,3/6 08:09:00,4.58,,,Iditarod
Travis Beals,51,3/7 21:21:00,13,3/8 03:40:00,12,6h 19m,14h 34m,3/7 06:47:00,5.49,,,Iditarod
Aaron Burmeister,38,3/7 23:20:00,12,3/8 04:05:00,12,4h 45m,14h 2m,3/7 09:18:00,5.70,,,Iditarod
Linwood Fiedler,15,3/7 22:56:00,13,3/8 05:03:00,12,6h 7m,14h 35m,3/7 08:21:00,5.49,,,Iditarod
Aaron Peck,47,3/8 06:05:00,10,3/8 06:12:00,10,0h 7m,20h 21m,3/7 09:44:00,3.93,,,Iditarod
