musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Joar Leifseth Ulsom,28,3/8 13:43:00,11,3/8 18:47:00,11,5h 4m,2h 15m,3/8 11:28:00,8.00,,,Grayling
Nicolas Petit,20,3/8 11:48:00,12,3/8 19:50:00,11,8h 2m,2h 50m,3/8 08:58:00,6.35,,,Grayling
Peter Kaiser,9,3/8 14:43:00,12,3/8 20:04:00,11,5h 21m,2h 23m,3/8 12:20:00,7.55,,,Grayling
Jessie Royer,14,3/8 14:06:00,13,3/8 22:06:00,13,8h 0m,2h 26m,3/8 11:40:00,7.40,,,Grayling
Mitch Seavey,32,3/8 15:03:00,11,3/8 23:03:00,11,8h 0m,2h 25m,3/8 12:38:00,7.45,,,Grayling
Richie Diehl,29,3/8 19:15:00,13,3/8 23:28:00,13,4h 13m,2h 27m,3/8 16:48:00,7.35,,,Grayling
Aliy Zirkle,19,3/8 18:20:00,14,3/8 23:35:00,14,5h 15m,2h 33m,3/8 15:47:00,7.06,,,Grayling
Ryan Redington,22,3/8 20:10:00,13,3/9 00:24:00,13,4h 14m,2h 21m,3/8 17:49:00,7.66,,,Grayling
Matthew Failor,17,3/8 21:22:00,12,3/9 02:13:00,12,4h 51m,2h 8m,3/8 19:14:00,8.44,,,Grayling
Paige Drobny,40,3/8 21:59:00,12,3/9 02:25:00,12,4h 26m,2h 19m,3/8 19:40:00,7.77,,,Grayling
Matt Hall,3,3/8 22:42:00,11,3/9 02:45:00,11,4h 3m,2h 17m,3/8 20:25:00,7.88,,,Grayling
Aaron Burmeister,38,3/8 22:33:00,11,3/9 02:54:00,11,4h 21m,2h 37m,3/8 19:56:00,6.88,,,Grayling
Jessie Holmes,5,3/8 22:20:00,13,3/9 02:55:00,13,4h 35m,2h 5m,3/8 20:15:00,8.64,,,Grayling
Mats Pettersson,4,3/9 00:13:00,11,3/9 05:20:00,11,5h 7m,2h 25m,3/8 21:48:00,7.45,,,Grayling
Lev Shvarts,13,3/9 05:26:00,11,3/9 05:26:00,11,0h 0m,2h 27m,3/9 02:59:00,7.35,,,Grayling
Travis Beals,51,3/9 00:50:00,11,3/9 05:56:00,11,5h 6m,2h 17m,3/8 22:33:00,7.88,,,Grayling
Ramey Smyth,6,3/9 00:58:00,12,3/9 06:09:00,12,5h 11m,2h 33m,3/8 22:25:00,7.06,,,Grayling
Jason Campeau,12,3/9 06:19:00,11,3/9 06:24:00,11,0h 5m,2h 36m,3/9 03:43:00,6.92,,,Grayling
Linwood Fiedler,15,3/9 03:13:00,12,3/9 07:37:00,12,4h 24m,2h 31m,3/9 00:42:00,7.15,,,Grayling
Jeff King,23,3/9 08:48:00,13,3/9 09:08:00,13,0h 20m,2h 13m,3/9 06:35:00,8.12,,,Grayling
Aaron Peck,47,3/9 09:17:00,9,3/9 09:35:00,7,0h 18m,2h 28m,3/9 06:49:00,7.30,,,Grayling
Wade Marrs,36,3/9 06:27:00,11,3/9 10:48:00,11,4h 21m,2h 13m,3/9 04:14:00,8.12,,,Grayling
Anna Berington,10,3/9 06:29:00,13,3/9 11:29:00,12,5h 0m,2h 34m,3/9 03:55:00,7.01,,,Grayling
Kristy Berington,26,3/9 06:28:00,12,3/9 11:30:00,12,5h 2m,2h 34m,3/9 03:54:00,7.01,,,Grayling
Michi Konno,43,3/9 06:37:00,11,3/9 11:50:00,11,5h 13m,2h 36m,3/9 04:01:00,6.92,,,Grayling
Brett Bruggeman,35,3/9 06:45:00,12,3/9 12:45:00,12,6h 0m,2h 26m,3/9 04:19:00,7.40,,,Grayling
Seth Barnes,45,3/9 06:49:00,12,3/9 12:45:00,11,5h 56m,2h 31m,3/9 04:18:00,7.15,,,Grayling
Charley Bejna,31,3/9 08:30:00,10,3/9 14:25:00,10,5h 55m,2h 30m,3/9 06:00:00,7.20,,,Grayling
Lance Mackey,44,3/9 06:44:00,12,3/9 14:50:00,12,8h 6m,2h 35m,3/9 04:09:00,6.97,,,Grayling
Sarah Stokey,52,3/9 07:05:00,12,3/9 15:05:00,12,8h 0m,2h 24m,3/9 04:41:00,7.50,,,Grayling
Jeff Deeter,25,3/9 09:13:00,10,3/9 15:51:00,9,6h 38m,2h 25m,3/9 06:48:00,7.45,,,Grayling
Robert Redington,34,3/9 11:30:00,9,3/9 16:00:00,9,4h 30m,2h 25m,3/9 09:05:00,7.45,,,Grayling
Martin Buser,21,3/9 11:24:00,12,3/9 16:21:00,12,4h 57m,2h 16m,3/9 09:08:00,7.94,,,Grayling
Richie Beattie,50,3/9 11:51:00,13,3/9 17:03:00,13,5h 12m,2h 24m,3/9 09:27:00,7.50,,,Grayling
Ed Hopkins,33,3/9 14:44:00,13,3/9 19:16:00,13,4h 32m,2h 29m,3/9 12:15:00,7.25,,,Grayling
Jessica Klejka,24,3/9 21:12:00,12,3/10 04:36:00 *,11,6h 24m,2h 12m,3/9 19:00:00,8.18,,,Grayling
Martin Apayauq Reitan,39,3/9 22:51:00,13,3/10 05:20:00 *,13,5h 29m,2h 34m,3/9 20:17:00,7.01,,,Grayling
Niklas Wikstrand,42,3/9 23:04:00,14,3/10 09:05:00 *,14,9h 1m,2h 18m,3/9 20:46:00,7.83,,,Grayling
Ryan Santiago,49,3/10 04:11:00 *,14,3/10 11:08:00,14,6h 57m,2h 24m,3/10 00:47:00,7.50,,,Grayling
Sebastien Dos Santos Borges,46,3/10 03:27:00 *,12,3/10 11:43:00,12,8h 16m,2h 35m,3/9 23:52:00,6.97,,,Grayling
Blair Braverman,11,3/10 10:14:00,11,3/10 16:34:00,11,6h 20m,2h 32m,3/10 07:42:00,7.11,,,Grayling
Kristin Bacon,8,3/10 14:30:00,14,3/10 23:20:00,13,8h 50m,2h 33m,3/10 11:57:00,7.06,,,Grayling
Anja Radano,2,3/10 14:30:00,11,3/10 23:22:00,11,8h 52m,2h 32m,3/10 11:58:00,7.11,,,Grayling
Alison Lifka,37,3/10 17:18:00,13,3/11 02:24:00,13,9h 6m,2h 38m,3/10 14:40:00,6.84,,,Grayling
Michael Baker,41,3/10 16:20:00,10,3/11 02:29:00,9,10h 9m,2h 34m,3/10 13:46:00,7.01,,,Grayling
Jeremy Keller,48,3/11 01:42:00,8,3/11 07:56:00,8,6h 14m,3h 22m,3/10 22:20:00,5.35,,,Grayling
Victoria Hardwick,30,3/11 01:35:00,14,3/11 08:50:00,14,7h 15m,3h 24m,3/10 22:11:00,5.29,,,Grayling
Cindy Gallea,53,3/11 01:24:00,12,3/11 09:34:00,12,8h 10m,3h 20m,3/10 22:04:00,5.40,,,Grayling
