musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Nicolas Petit,20,3/9 16:51:00,11,3/9 21:49:00,10,4h 58m,13h 58m,3/9 02:53:00,4.30,,,Kaltag
Joar Leifseth Ulsom,28,3/9 18:53:00,10,3/9 23:44:00,10,4h 51m,11h 8m,3/9 07:45:00,5.39,,,Kaltag
Jessie Royer,14,3/9 19:18:00,13,3/9 23:47:00,13,4h 29m,11h 15m,3/9 08:03:00,5.33,,,Kaltag
Peter Kaiser,9,3/9 16:48:00,11,3/10 00:51:00,11,8h 3m,9h 3m,3/9 07:45:00,6.63,,,Kaltag
Mitch Seavey,32,3/9 21:35:00,11,3/10 03:47:00 *,9,5h 12m,11h 33m,3/9 10:02:00,5.19,,,Kaltag
Matt Hall,3,3/10 06:00:00 *,9,3/10 06:05:00,9,0h 5m,14h 42m,3/9 14:18:00,4.08,,,Kaltag
Jessie Holmes,5,3/9 22:48:00,13,3/10 06:57:00 *,11,7h 9m,10h 9m,3/9 12:39:00,5.91,,,Kaltag
Aliy Zirkle,19,3/9 22:24:00,13,3/10 07:37:00 *,13,8h 13m,11h 10m,3/9 11:14:00,5.37,,,Kaltag
Matthew Failor,17,3/9 23:35:00,11,3/10 08:01:00 *,11,7h 26m,14h 49m,3/9 08:46:00,4.05,,,Kaltag
Paige Drobny,40,3/10 05:18:00 *,12,3/10 08:54:00,12,3h 36m,13h 50m,3/9 14:28:00,4.34,,,Kaltag
Ryan Redington,22,3/10 01:57:00,9,3/10 09:45:00 *,9,6h 48m,14h 1m,3/9 11:56:00,4.28,,,Kaltag
Aaron Burmeister,38,3/10 06:13:00 *,11,3/10 10:52:00,11,4h 39m,10h 42m,3/9 18:31:00,5.61,,,Kaltag
Mats Pettersson,4,3/10 05:14:00 *,11,3/10 11:46:00,11,6h 32m,10h 42m,3/9 17:32:00,5.61,,,Kaltag
Travis Beals,51,3/10 06:04:00 *,11,3/10 11:56:00,10,5h 52m,11h 48m,3/9 17:16:00,5.08,,,Kaltag
Richie Diehl,29,3/10 01:54:00,11,3/10 13:25:00 *,10,10h 31m,13h 3m,3/9 12:51:00,4.60,,,Kaltag
Linwood Fiedler,15,3/10 08:11:00 *,12,3/10 15:19:00,12,7h 8m,10h 9m,3/9 21:02:00,5.91,,,Kaltag
Ramey Smyth,6,3/10 09:41:00 *,12,3/10 15:45:00,12,6h 4m,10h 55m,3/9 21:46:00,5.50,,,Kaltag
Michi Konno,43,3/10 12:06:00 *,11,3/10 18:51:00,10,6h 45m,9h 56m,3/10 01:10:00,6.04,,,Kaltag
Jeff King,23,3/10 13:06:00 *,13,3/10 18:52:00,13,5h 46m,15h 13m,3/9 20:53:00,3.94,,,Kaltag
Wade Marrs,36,3/10 14:28:00,10,3/10 20:20:00,9,5h 52m,11h 15m,3/10 03:13:00,5.33,,,Kaltag
Anna Berington,10,3/10 12:07:00 *,12,3/10 20:28:00,12,8h 21m,9h 44m,3/10 01:23:00,6.16,,,Kaltag
Kristy Berington,26,3/10 12:01:00 *,12,3/10 20:29:00,11,8h 28m,9h 39m,3/10 01:22:00,6.22,,,Kaltag
Lev Shvarts,13,3/10 13:25:00 *,9,3/10 21:23:00,7,7h 58m,13h 8m,3/9 23:17:00,4.57,,,Kaltag
Brett Bruggeman,35,3/10 14:35:00,12,3/10 21:55:00,12,7h 20m,11h 16m,3/10 03:19:00,5.33,,,Kaltag
Charley Bejna,31,3/10 15:51:00,10,3/10 22:10:00,10,6h 19m,11h 45m,3/10 04:06:00,5.11,,,Kaltag
Seth Barnes,45,3/10 14:42:00,11,3/10 22:45:00,11,8h 3m,11h 27m,3/10 03:15:00,5.24,,,Kaltag
Aaron Peck,47,3/10 15:04:00 *,7,3/10 23:02:00,7,7h 58m,15h 15m,3/9 22:49:00,3.93,,,Kaltag
Lance Mackey,44,3/10 14:34:00,12,3/10 23:06:00,12,8h 32m,9h 36m,3/10 04:58:00,6.25,,,Kaltag
Jeff Deeter,25,3/10 17:29:00,9,3/10 23:24:00,8,5h 55m,13h 30m,3/10 03:59:00,4.44,,,Kaltag
Richie Beattie,50,3/10 16:49:00,12,3/10 23:58:00,12,7h 9m,9h 13m,3/10 07:36:00,6.51,,,Kaltag
Martin Buser,21,3/10 17:21:00,12,3/11 04:58:00,12,11h 37m,9h 23m,3/10 07:58:00,6.39,,,Kaltag
Jason Campeau,12,3/10 21:12:00 *,10,3/11 05:04:00,9,7h 52m,18h 54m,3/10 01:18:00,3.17,,,Kaltag
Ed Hopkins,33,3/10 23:44:00,13,3/11 05:16:00,13,5h 32m,15h 13m,3/10 08:31:00,3.94,,,Kaltag
Sarah Stokey,52,3/11 03:52:00,11,3/11 10:09:00,11,6h 17m,11h 21m,3/10 16:31:00,5.29,,,Kaltag
Jessica Klejka,24,3/11 11:24:00,11,3/11 19:37:00,11,8h 13m,15h 31m,3/10 19:53:00,3.87,,,Kaltag
Ryan Santiago,49,3/11 14:34:00,14,3/11 22:43:00,13,8h 9m,11h 20m,3/11 03:14:00,5.29,,,Kaltag
Martin Apayauq Reitan,39,3/11 14:58:00,13,3/12 00:55:00,13,9h 57m,10h 50m,3/11 04:08:00,5.54,,,Kaltag
Sebastien Dos Santos Borges,46,3/11 15:00:00,12,3/12 01:22:00,11,10h 22m,10h 50m,3/11 04:10:00,5.54,,,Kaltag
Blair Braverman,11,3/11 21:17:00,11,3/12 09:48:00,10,12h 31m,10h 55m,3/11 10:22:00,5.50,,,Kaltag
Michael Baker,41,3/12 13:15:00,9,3/12 22:12:00,9,8h 57m,17h 39m,3/11 19:36:00,3.40,,,Kaltag
Kristin Bacon,8,3/12 15:04:00,12,3/12 22:13:00,12,7h 9m,18h 36m,3/11 20:28:00,3.23,,,Kaltag
Anja Radano,2,3/12 14:32:00,11,3/12 22:20:00,11,7h 48m,18h 3m,3/11 20:29:00,3.32,,,Kaltag
Alison Lifka,37,3/12 13:09:00,13,3/12 22:42:00,13,9h 33m,17h 19m,3/11 19:50:00,3.46,,,Kaltag
Jeremy Keller,48,3/12 20:49:00,8,3/13 04:31:00,8,7h 42m,15h 58m,3/12 04:51:00,3.76,,,Kaltag
Victoria Hardwick,30,3/12 20:53:00,14,3/13 04:36:00,14,7h 43m,16h 5m,3/12 04:48:00,3.73,,,Kaltag
Cindy Gallea,53,3/12 21:22:00,8,3/13 05:22:00,8,8h 0m,16h 30m,3/12 04:52:00,3.64,,,Kaltag
Robert Redington,34,3/10 17:22:00,8,,,,9h 9m,3/10 08:13:00,6.56,,,Kaltag
Niklas Wikstrand,42,3/11 14:35:00,13,,,,11h 11m,3/11 03:24:00,5.37,,,Kaltag
