musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Peter Kaiser,9,3/11 08:54:00,10,3/11 14:15:00,9,5h 21m,7h 28m,3/11 01:26:00,6.70,,,Koyuk
Joar Leifseth Ulsom,28,3/11 09:59:00,9,3/11 15:15:00,8,5h 16m,8h 20m,3/11 01:39:00,6.00,,,Koyuk
Jessie Royer,14,3/11 11:46:00,12,3/11 16:55:00,11,5h 9m,8h 37m,3/11 03:09:00,5.80,,,Koyuk
Aliy Zirkle,19,3/11 19:21:00,11,3/12 00:29:00,11,5h 8m,9h 1m,3/11 10:20:00,5.55,,,Koyuk
Jessie Holmes,5,3/11 19:49:00,10,3/12 01:25:00,9,5h 36m,9h 31m,3/11 10:18:00,5.25,,,Koyuk
Matt Hall,3,3/11 22:15:00,9,3/12 03:20:00,9,5h 5m,8h 54m,3/11 13:21:00,5.62,,,Koyuk
Mitch Seavey,32,3/11 21:27:00,9,3/12 05:02:00,9,7h 35m,14h 9m,3/11 07:18:00,3.53,,,Koyuk
Travis Beals,51,3/11 22:15:00,10,3/12 06:15:00,9,8h 0m,8h 43m,3/11 13:32:00,5.74,,,Koyuk
Paige Drobny,40,3/12 00:08:00,12,3/12 06:42:00,12,6h 34m,8h 24m,3/11 15:44:00,5.95,,,Koyuk
Aaron Burmeister,38,3/12 01:15:00,11,3/12 07:43:00,11,6h 28m,9h 32m,3/11 15:43:00,5.24,,,Koyuk
Ramey Smyth,6,3/12 04:02:00,12,3/12 09:01:00,12,4h 59m,8h 51m,3/11 19:11:00,5.65,,,Koyuk
Richie Diehl,29,3/12 05:18:00,10,3/12 11:23:00,10,6h 5m,8h 19m,3/11 20:59:00,6.01,,,Koyuk
Jeff King,23,3/12 04:52:00,13,3/12 13:21:00,13,8h 29m,7h 40m,3/11 21:12:00,6.52,,,Koyuk
Mats Pettersson,4,3/12 08:37:00,9,3/12 13:56:00,8,5h 19m,9h 39m,3/11 22:58:00,5.18,,,Koyuk
Linwood Fiedler,15,3/12 07:41:00,12,3/12 14:08:00,12,6h 27m,8h 30m,3/11 23:11:00,5.88,,,Koyuk
Wade Marrs,36,3/12 11:40:00,9,3/12 16:42:00,9,5h 2m,7h 37m,3/12 04:03:00,6.56,,,Koyuk
Kristy Berington,26,3/12 14:38:00,11,3/12 21:39:00,11,7h 1m,8h 36m,3/12 06:02:00,5.81,,,Koyuk
Anna Berington,10,3/12 14:39:00,10,3/12 21:39:00,9,7h 0m,8h 38m,3/12 06:01:00,5.79,,,Koyuk
Seth Barnes,45,3/12 16:04:00,10,3/12 22:04:00,10,6h 0m,8h 1m,3/12 08:03:00,6.24,,,Koyuk
Jeff Deeter,25,3/12 16:23:00,8,3/12 22:10:00,8,5h 47m,7h 58m,3/12 08:25:00,6.28,,,Koyuk
Aaron Peck,47,3/12 19:57:00,7,3/13 04:45:00,7,8h 48m,8h 27m,3/12 11:30:00,5.92,,,Koyuk
Charley Bejna,31,3/12 20:15:00,9,3/13 04:48:00,8,8h 33m,8h 31m,3/12 11:44:00,5.87,,,Koyuk
Matthew Failor,17,3/12 17:37:00,11,3/13 04:49:00,10,11h 12m,28h 0m,3/11 13:37:00,1.79,,,Koyuk
Richie Beattie,50,3/12 23:32:00,10,3/13 05:54:00,10,6h 22m,8h 24m,3/12 15:08:00,5.95,,,Koyuk
Ed Hopkins,33,3/13 00:54:00,12,3/13 07:50:00,11,6h 56m,8h 3m,3/12 16:51:00,6.21,,,Koyuk
Sarah Stokey,52,3/13 02:36:00,11,3/13 09:32:00,10,6h 56m,8h 2m,3/12 18:34:00,6.22,,,Koyuk
Martin Buser,21,3/13 00:10:00,12,3/13 09:41:00,12,9h 31m,7h 15m,3/12 16:55:00,6.90,,,Koyuk
Michi Konno,43,3/13 00:08:00,8,3/13 10:12:00,8,10h 4m,9h 18m,3/12 14:50:00,5.38,,,Koyuk
