musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Peter Kaiser,9,3/12 08:05:00,8,3/12 16:05:00,8,8h 0m,7h 24m,3/12 00:41:00,6.22,,,White Mountain
Joar Leifseth Ulsom,28,3/12 08:46:00,8,3/12 16:47:00,8,8h 1m,8h 0m,3/12 00:46:00,5.75,,,White Mountain
Jessie Royer,14,3/12 12:40:00,11,3/12 20:46:00,11,8h 6m,7h 54m,3/12 04:46:00,5.82,,,White Mountain
Aliy Zirkle,19,3/12 19:47:00,11,3/13 03:47:00,11,8h 0m,7h 36m,3/12 12:11:00,6.05,,,White Mountain
Matt Hall,3,3/12 21:46:00,9,3/13 05:46:00,9,8h 0m,7h 18m,3/12 14:28:00,6.30,,,White Mountain
Travis Beals,51,3/12 22:26:00,8,3/13 06:26:00,8,8h 0m,7h 5m,3/12 15:21:00,6.49,,,White Mountain
Paige Drobny,40,3/12 23:04:00,12,3/13 07:15:00,11,8h 11m,7h 7m,3/12 15:57:00,6.46,,,White Mountain
Ramey Smyth,6,3/13 02:32:00,11,3/13 10:32:00,9,8h 0m,8h 0m,3/12 18:32:00,5.75,,,White Mountain
Aaron Burmeister,38,3/13 03:48:00,11,3/13 11:48:00,10,8h 0m,8h 8m,3/12 19:40:00,5.66,,,White Mountain
Mitch Seavey,32,3/13 04:14:00,9,3/13 12:14:00,8,8h 0m,12h 9m,3/12 16:05:00,3.79,,,White Mountain
Richie Diehl,29,3/13 05:46:00,10,3/13 13:46:00,9,8h 0m,7h 38m,3/12 22:08:00,6.03,,,White Mountain
Linwood Fiedler,15,3/13 08:25:00,12,3/13 16:26:00,11,8h 1m,8h 21m,3/13 00:04:00,5.51,,,White Mountain
Jeff King,23,3/13 10:24:00,13,3/13 18:24:00,13,8h 0m,7h 31m,3/13 02:53:00,6.12,,,White Mountain
Wade Marrs,36,3/13 11:25:00,9,3/13 19:40:00,9,8h 15m,7h 39m,3/13 03:46:00,6.01,,,White Mountain
Jeff Deeter,25,3/13 17:50:00,7,3/14 01:50:00,7,8h 0m,7h 59m,3/13 09:51:00,5.76,,,White Mountain
Anna Berington,10,3/13 19:49:00,9,3/14 03:54:00,9,8h 5m,8h 15m,3/13 11:34:00,5.58,,,White Mountain
Kristy Berington,26,3/13 19:47:00,11,3/14 03:58:00,11,8h 11m,8h 15m,3/13 11:32:00,5.58,,,White Mountain
Seth Barnes,45,3/13 20:46:00,8,3/14 04:47:00,6,8h 1m,9h 11m,3/13 11:35:00,5.01,,,White Mountain
Mats Pettersson,4,3/13 21:14:00,8,3/14 05:33:00,8,8h 19m,17h 11m,3/13 04:03:00,2.68,,,White Mountain
Matthew Failor,17,3/13 22:51:00,10,3/14 06:51:00,10,8h 0m,7h 24m,3/13 15:27:00,6.22,,,White Mountain
Richie Beattie,50,3/14 02:57:00,9,3/14 11:02:00,9,8h 5m,7h 37m,3/13 19:20:00,6.04,,,White Mountain
Ed Hopkins,33,3/14 04:29:00,10,3/14 12:35:00,10,8h 6m,7h 56m,3/13 20:33:00,5.80,,,White Mountain
Martin Buser,21,3/14 06:58:00,12,3/14 15:02:00,12,8h 4m,6h 32m,3/14 00:26:00,7.04,,,White Mountain
Aaron Peck,47,3/14 06:08:00,7,3/14 15:43:00,6,9h 35m,13h 51m,3/13 16:17:00,3.32,,,White Mountain
Charley Bejna,31,3/14 07:44:00,7,3/14 16:29:00,7,8h 45m,7h 17m,3/14 00:27:00,6.32,,,White Mountain
Michi Konno,43,3/14 08:23:00,8,3/14 16:50:00,8,8h 27m,7h 41m,3/14 00:42:00,5.99,,,White Mountain
Jessie Holmes,5,3/14 02:05:00,9,3/15 00:32:00,9,22h 27m,6h 46m,3/13 19:19:00,6.80,,,White Mountain
Lance Mackey,44,3/14 16:28:00,12,3/15 00:32:00,12,8h 4m,6h 54m,3/14 09:34:00,6.67,,,White Mountain
Ryan Santiago,49,3/15 01:39:00,13,3/15 09:39:00,13,8h 0m,6h 53m,3/14 18:46:00,6.68,,,White Mountain
Martin Apayauq Reitan,39,3/15 02:16:00,12,3/15 10:16:00,12,8h 0m,7h 14m,3/14 19:02:00,6.36,,,White Mountain
Jason Campeau,12,3/15 02:23:00,8,3/15 10:23:00,8,8h 0m,16h 49m,3/14 09:34:00,2.74,,,White Mountain
Jessica Klejka,24,3/15 02:40:00,11,3/15 10:55:00,11,8h 15m,7h 42m,3/14 18:58:00,5.97,,,White Mountain
Sarah Stokey,52,3/15 15:32:00,10,3/16 04:27:00,10,12h 55m,38h 45m,3/14 00:47:00,1.19,,,White Mountain
Michael Baker,41,3/16 04:10:00,9,3/16 12:53:00,9,8h 43m,6h 54m,3/15 21:16:00,6.67,,,White Mountain
Alison Lifka,37,3/16 04:45:00,12,3/16 13:20:00,11,8h 35m,6h 23m,3/15 22:22:00,7.21,,,White Mountain
Anja Radano,2,3/16 10:28:00,10,3/16 19:09:00,10,8h 41m,8h 3m,3/16 02:25:00,5.71,,,White Mountain
Blair Braverman,11,3/16 09:51:00,10,3/16 20:44:00,8,10h 53m,7h 39m,3/16 02:12:00,6.01,,,White Mountain
Jeremy Keller,48,3/16 14:15:00,8,3/17 01:01:00,8,10h 46m,7h 37m,3/16 06:38:00,6.04,,,White Mountain
Cindy Gallea,53,3/16 15:40:00,7,3/17 01:28:00,7,9h 48m,8h 34m,3/16 07:06:00,5.37,,,White Mountain
Kristin Bacon,8,3/16 17:35:00,11,3/17 02:14:00,11,8h 39m,14h 55m,3/16 02:40:00,3.08,,,White Mountain
Victoria Hardwick,30,3/17 04:56:00,11,3/17 13:34:00,9,8h 38m,22h 17m,3/16 06:39:00,2.06,,,White Mountain
