musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Peter Kaiser,9,3/13 03:39:06,8,,,,3h 34m,3/13 00:05:00,6.17,,,Nome
Joar Leifseth Ulsom,28,3/13 03:51:22,8,,,,3h 6m,3/13 00:45:00,7.10,,,Nome
Jessie Royer,14,3/13 09:34:05,11,,,,4h 0m,3/13 05:34:00,5.50,,,Nome
Aliy Zirkle,19,3/13 17:26:56,11,,,,3h 44m,3/13 13:42:00,5.89,,,Nome
Travis Beals,51,3/13 18:37:25,8,,,,3h 45m,3/13 14:52:00,5.87,,,Nome
Matt Hall,3,3/13 21:03:15,8,,,,3h 21m,3/13 17:42:00,6.57,,,Nome
Paige Drobny,40,3/13 21:09:37,11,,,,3h 31m,3/13 17:38:00,6.26,,,Nome
Ramey Smyth,6,3/13 23:13:50,9,,,,3h 40m,3/13 19:33:00,6.00,,,Nome
Mitch Seavey,32,3/13 23:25:14,7,,,,3h 24m,3/13 20:01:00,6.47,,,Nome
Aaron Burmeister,38,3/14 00:34:25,9,,,,3h 48m,3/13 20:46:00,5.79,,,Nome
Richie Diehl,29,3/14 01:40:14,9,,,,3h 34m,3/13 22:06:00,6.17,,,Nome
Linwood Fiedler,15,3/14 03:09:50,11,,,,3h 0m,3/14 00:09:00,7.33,,,Nome
Jeff King,23,3/14 04:07:20,13,,,,3h 45m,3/14 00:22:00,5.87,,,Nome
Wade Marrs,36,3/14 05:26:07,9,,,,2h 38m,3/14 02:48:00,8.35,,,Nome
Jeff Deeter,25,3/14 11:48:12,7,,,,3h 2m,3/14 08:46:00,7.25,,,Nome
Kristy Berington,26,3/14 14:04:48,10,,,,3h 9m,3/14 10:55:00,6.98,,,Nome
Anna Berington,10,3/14 14:05:15,9,,,,3h 10m,3/14 10:55:00,6.95,,,Nome
Matthew Failor,17,3/14 16:03:21,10,,,,2h 45m,3/14 13:18:00,8.00,,,Nome
Seth Barnes,45,3/14 16:13:45,6,,,,3h 49m,3/14 12:24:00,5.76,,,Nome
Mats Pettersson,4,3/14 17:40:29,8,,,,4h 3m,3/14 13:37:00,5.43,,,Nome
Richie Beattie,50,3/14 22:01:31,9,,,,3h 36m,3/14 18:25:00,6.11,,,Nome
Ed Hopkins,33,3/14 23:07:34,10,,,,3h 12m,3/14 19:55:00,6.88,,,Nome
Martin Buser,21,3/15 01:16:24,12,,,,3h 21m,3/14 21:55:00,6.57,,,Nome
Aaron Peck,47,3/15 02:10:05,6,,,,3h 26m,3/14 22:44:00,6.41,,,Nome
Charley Bejna,31,3/15 03:34:33,7,,,,3h 40m,3/14 23:54:00,6.00,,,Nome
Michi Konno,43,3/15 03:59:36,8,,,,3h 44m,3/15 00:15:00,5.89,,,Nome
Lance Mackey,44,3/15 13:41:40,11,,,,3h 11m,3/15 10:30:00,6.91,,,Nome
Jessie Holmes,5,3/15 13:41:45,9,,,,3h 10m,3/15 10:31:00,6.95,,,Nome
Martin Apayauq Reitan,39,3/15 20:15:17,12,,,,2h 48m,3/15 17:27:00,7.86,,,Nome
Ryan Santiago,49,3/15 20:20:30,12,,,,3h 5m,3/15 17:15:00,7.14,,,Nome
Jason Campeau,12,3/15 21:49:24,8,,,,3h 26m,3/15 18:23:00,6.41,,,Nome
Jessica Klejka,24,3/15 22:12:35,11,,,,3h 9m,3/15 19:03:00,6.98,,,Nome
Alison Lifka,37,3/16 23:35:29,11,,,,3h 11m,3/16 20:24:00,6.91,,,Nome
Michael Baker,41,3/16 23:47:20,8,,,,3h 12m,3/16 20:35:00,6.88,,,Nome
Sarah Stokey,52,3/17 06:59:01,10,,,,16h 58m,3/16 14:01:00,1.30,,,Nome
Anja Radano,2,3/17 07:53:34,10,,,,3h 39m,3/17 04:14:00,6.03,,,Nome
Blair Braverman,11,3/17 10:17:02,8,,,,3h 47m,3/17 06:30:00,5.81,,,Nome
Jeremy Keller,48,3/17 13:52:20,8,,,,3h 33m,3/17 10:19:00,6.20,,,Nome
Kristin Bacon,8,3/17 20:38:26,10,,,,3h 35m,3/17 17:03:00,6.14,,,Nome
Victoria Hardwick,30,3/18 13:51:49,9,,,,2h 43m,3/18 11:08:00,8.10,,,Nome
