musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,NA,NA,checkName
Peter Kaiser,9,3/13 00:03:00,8,3/13 00:05:00,8,0h 2m,7h 58m,3/12 16:05:00,6.90,,,Safety
Joar Leifseth Ulsom,28,3/13 00:42:00,8,3/13 00:45:00,8,0h 3m,7h 55m,3/12 16:47:00,6.95,,,Safety
Jessie Royer,14,3/13 05:27:00,11,3/13 05:34:00,11,0h 7m,8h 41m,3/12 20:46:00,6.33,,,Safety
Aliy Zirkle,19,3/13 13:16:00,11,3/13 13:42:00,11,0h 26m,9h 29m,3/13 03:47:00,5.80,,,Safety
Travis Beals,51,3/13 14:48:00,8,3/13 14:52:00,8,0h 4m,8h 22m,3/13 06:26:00,6.57,,,Safety
Paige Drobny,40,3/13 17:36:00,11,3/13 17:38:00,11,0h 2m,10h 21m,3/13 07:15:00,5.31,,,Safety
Matt Hall,3,3/13 17:38:00,9,3/13 17:42:00,8,0h 4m,11h 52m,3/13 05:46:00,4.63,,,Safety
Ramey Smyth,6,3/13 19:31:00,9,3/13 19:33:00,9,0h 2m,8h 59m,3/13 10:32:00,6.12,,,Safety
Mitch Seavey,32,3/13 19:54:00,8,3/13 20:01:00,7,0h 7m,7h 40m,3/13 12:14:00,7.17,,,Safety
Aaron Burmeister,38,3/13 20:42:00,10,3/13 20:46:00,9,0h 4m,8h 54m,3/13 11:48:00,6.18,,,Safety
Richie Diehl,29,3/13 22:04:00,9,3/13 22:06:00,9,0h 2m,8h 18m,3/13 13:46:00,6.63,,,Safety
Linwood Fiedler,15,3/14 00:07:00,11,3/14 00:09:00,11,0h 2m,7h 41m,3/13 16:26:00,7.16,,,Safety
Jeff King,23,3/14 00:20:00,13,3/14 00:22:00,13,0h 2m,5h 56m,3/13 18:24:00,9.27,,,Safety
Wade Marrs,36,3/14 02:45:00,9,3/14 02:48:00,9,0h 3m,7h 5m,3/13 19:40:00,7.76,,,Safety
Jeff Deeter,25,3/14 08:43:00,7,3/14 08:46:00,7,0h 3m,6h 53m,3/14 01:50:00,7.99,,,Safety
Kristy Berington,26,3/14 10:49:00,11,3/14 10:55:00,10,0h 6m,6h 51m,3/14 03:58:00,8.03,,,Safety
Anna Berington,10,3/14 10:50:00,9,3/14 10:55:00,9,0h 5m,6h 56m,3/14 03:54:00,7.93,,,Safety
Seth Barnes,45,3/14 12:21:00,6,3/14 12:24:00,6,0h 3m,7h 34m,3/14 04:47:00,7.27,,,Safety
Matthew Failor,17,3/14 13:17:00,10,3/14 13:18:00,10,0h 1m,6h 26m,3/14 06:51:00,8.55,,,Safety
Mats Pettersson,4,3/14 13:35:00,8,3/14 13:37:00,8,0h 2m,8h 2m,3/14 05:33:00,6.85,,,Safety
Richie Beattie,50,3/14 18:24:00,9,3/14 18:25:00,9,0h 1m,7h 22m,3/14 11:02:00,7.47,,,Safety
Ed Hopkins,33,3/14 19:53:00,10,3/14 19:55:00,10,0h 2m,7h 18m,3/14 12:35:00,7.53,,,Safety
Martin Buser,21,3/14 21:55:00,12,3/14 21:55:00,12,0h 0m,6h 53m,3/14 15:02:00,7.99,,,Safety
Aaron Peck,47,3/14 22:43:00,6,3/14 22:44:00,6,0h 1m,7h 0m,3/14 15:43:00,7.86,,,Safety
Charley Bejna,31,3/14 23:54:00,7,3/14 23:54:00,7,0h 0m,7h 25m,3/14 16:29:00,7.42,,,Safety
Michi Konno,43,3/15 00:10:00,8,3/15 00:15:00,8,0h 5m,7h 20m,3/14 16:50:00,7.50,,,Safety
Lance Mackey,44,3/15 07:32:00,12,3/15 10:30:00,11,2h 58m,7h 0m,3/15 00:32:00,7.86,,,Safety
Jessie Holmes,5,3/15 07:30:00,9,3/15 10:31:00,9,3h 1m,6h 58m,3/15 00:32:00,7.89,,,Safety
Ryan Santiago,49,3/15 17:02:00,13,3/15 17:15:00,12,0h 13m,7h 23m,3/15 09:39:00,7.45,,,Safety
Martin Apayauq Reitan,39,3/15 17:22:00,12,3/15 17:27:00,12,0h 5m,7h 6m,3/15 10:16:00,7.75,,,Safety
Jason Campeau,12,3/15 18:15:00,8,3/15 18:23:00,8,0h 8m,7h 52m,3/15 10:23:00,6.99,,,Safety
Jessica Klejka,24,3/15 18:42:00,11,3/15 19:03:00,11,0h 21m,7h 47m,3/15 10:55:00,7.07,,,Safety
Sarah Stokey,52,3/16 13:58:00,10,3/16 14:01:00,10,0h 3m,9h 31m,3/16 04:27:00,5.78,,,Safety
Alison Lifka,37,3/16 20:15:00,11,3/16 20:24:00,11,0h 9m,6h 55m,3/16 13:20:00,7.95,,,Safety
Michael Baker,41,3/16 20:28:00,9,3/16 20:35:00,8,0h 7m,7h 35m,3/16 12:53:00,7.25,,,Safety
Anja Radano,2,3/17 04:10:00,10,3/17 04:14:00,10,0h 4m,9h 1m,3/16 19:09:00,6.10,,,Safety
Blair Braverman,11,3/17 06:00:00,8,3/17 06:30:00,8,0h 30m,9h 16m,3/16 20:44:00,5.94,,,Safety
Jeremy Keller,48,3/17 09:46:00,8,3/17 10:19:00,8,0h 33m,8h 45m,3/17 01:01:00,6.29,,,Safety
Kristin Bacon,8,3/17 14:37:00,11,3/17 17:03:00,10,2h 26m,12h 23m,3/17 02:14:00,4.44,,,Safety
Victoria Hardwick,30,3/18 10:53:00,9,3/18 11:08:00,9,0h 15m,21h 19m,3/17 13:34:00,2.58,,,Safety
Cindy Gallea,53,3/18 00:00:00,7,,,,22h 32m,3/17 01:28:00,2.44,,,Safety
